id,text,parent
*00000,Any,
BBST,Blodstatus,*00000
BCELL,B-Celler klassificer,*00000
BOXIG,CGD utredning,*00000
BFGRAN,B-Granulocytfunk utr,*00000
BGLF,(B)Gran-Laktoferrin,*00000
BGMPO,(B)Gran-MPO,*00000
BGENHFE,Hemokromatos,*00000
BNEUT,B-Neutrofila,*00000
BRET,Retikulocyter,*00000
SWE05027,P-CRP,*00000
XCRPB,B-CRP,*00000
XIL6,P-Interleukin 6,*00000
XCRPH,P-CRP,*00000
XSAA,P-Serum Amyloid A,*00000
NPU03404,B-SR,*00000
SWE05074,B-Hemoglobin,*00000
NPU01961,B-EVF,*00000
NPU01960,B-Erytrocyter,*00000
NPU01944,(B)Erc-MCV,*00000
SWE05129,(B)Erc-MCH,*00000
SWE05128,(B)Erc-MCHC,*00000
NPU02593,B-Leukocyter,*00000
NPU03568,B-Trombocyter,*00000
NPU02902,B-Neutrofila granulo,*00000
NPU01933,B-Eosinifila granulo,*00000
NPU01349,B-Basofila granulo,*00000
NPU02636,B-Lymfocyter,*00000
NPU02840,B-Monocyter,*00000
XLKCMAN,B-Leukocyter (mikr.),*00000
XLKCMIK,B-Leukocyter (mikr.),*00000
XTRCMAN,B-Trombocyter (mikr),*00000
XTRCMIK,B-Trombocyter (mikr),*00000
XTRCMCV,(B)Trc-Medelvolym,*00000
NPU03982,B-Neut segm granulo,*00000
NPU03980,B-Neut stavk granulo,*00000
XEOSMIK,B-Eosinofila granulo,*00000
XBASOMIK,B-Basofila granulo,*00000
XLYMFMIK,B-Lymfocyter,*00000
XMONMIK,B-Monocyter,*00000
NPU03972,B-Blaster,*00000
NPU03974,B-Promyelocyter,*00000
NPU03976,B-Myelocyter,*00000
NPU03978,B-Metamyelocyter,*00000
XMORF,B-Morfologi,*00000
XMORFERC,(B)Erc-Morfologi,*00000
NPU08694,B-Retikulocyter,*00000
XRETFRAK,(B)Erc-Retikulocyter,*00000
XRETM,(B)Erc-Retikulocyter,*00000
XKOBA,P-Kobalaminer (B12),*00000
XFOL,P-Folat,*00000
XHOCY,P-Homocystein,*00000
YMMA,S-Metylmalonat,*00000
XHBP,P-Hemoglobin,*00000
XMEM,(B)Erc-Membranfragil,*00000
YHBELF,Hb-elfores,*00000
NPU04613,B-HbF,*00000
XECPS,S-ECP,*00000
XECPSA,S-ECP (ackred.),*00000
XLYSO,S-Lysozym,*00000
XMPO,S-MPO,*00000
XTRYPT,S-Tryptas,*00000
XMPOP,P-MPO,*00000
RECC5AG,(B)Gran-C5aR CD88,*00000
RECFCGRIPG,(B)Gran-FcgRI CD64%,*00000
RECFCGRIFG,(B)Gran-FcgRI CD64F,*00000
RECFCGRIIG,(B)Gran-FcgRII CD32,*00000
RECFCGR3G,(B)Gran-FcgRII CD16,*00000
RECC3BIRAG,(B)Gran-C3biRaCD11b,*00000
RECC3BIRBG,(B)Gran-C3biRb CD18,*00000
RECC3BRPG,(B)Gran-C3bR CD35%,*00000
RECC3BRFG,(B)Gran-C3bR CD35F,*00000
RECFCGRIM,(B)Mono-FcRI CD64,*00000
RECFCGRIIM,(B)Mono-FcgRII CD32,*00000
RECC3BIRAM,(B)Mono-C3biRa CD11b,*00000
RECC3BIRBM,(B)Mono-C3biRb CD18,*00000
RECC3BRPM,(B)Mono-C3bR CD35%,*00000
RECC3BRFM,(B)Mono-C3bR CD35F,*00000
MIGRMG,(B)Gran-Ran migr,*00000
MIGKTC5AG,(B)Gran-KemotC5a,*00000
MIGKTIL8G,(B)Gran-KemotIL-8,*00000
MIGSKTAG,(B)Gran-S-kt akt,*00000
MIGSKKA5G,(B)Gran-S-kk akt5%,*00000
MIGSKKA10G,(B)Gran-S-kk akt10%,*00000
MIGSKKA5VG,(B)Gran-S-kk akt5v,*00000
FAGOECG,(B)Gran-Fago-E coli,*00000
FAGOSAG,(B)Gran-Fago-S aur,*00000
FAGOPAG,(B)Gran-Fago-P aer,*00000
FAGOCAG,(B)Gran-Fago-C alb,*00000
OXIECG,(B)Gran-Burst-E coli,*00000
OXIPMAG,(B)Gran-Burst-PMA,*00000
CLLUMB,B-CL-Luminol-zymosan,*00000
CLLUCB,B-CL-Lucigenin-zym,*00000
FCGRIIADNA,FcgRIIA,*00000
MYELOPOPG,(B)Gran-MPO%,*00000
MYELOPOFG,(B)Gran-MPOMFI,*00000
LAKTOFPG,(B)Gran-Laktof%,*00000
LAKTOFFPG,(B)Gran-LaktofMFI,*00000
NADPHOXG,(B)Gran-NADPH-oxidas,*00000
XGENOHFE,HFE845,*00000
XGENOHFE1,HFE187,*00000
XBEDHFE,Bedåmn HFE genotyp,*00000
XBEDGRU,Bedåmning Gran utred,*00000
NPU01685,P-Protrombinkomplex,*00000
XPKB,B-Protrombinkomplex,*00000
NPU01682,P-APT tid,*00000
SWE05130,P-Fibrinogen,*00000
NPU08952,P-Antitrombin,*00000
SWE05096,P-Fibrin,*00000
XFIBDD,P-FibrinD-Dimer(Enk),*00000
XVWAKT,P-vWillebr (akt),*00000
