id,text,parent
NPU00000,Any,
NPU01005,Acetaldehyde,NPU00000
NPU01006,Acetaldehyde,NPU00000
NPU01010,Acetoacetate,NPU00000
NPU01011,Acetoacetate,NPU00000
NPU01013,"Alkaline phosphatase, liver type",NPU00000
NPU01022,Acetyl-L-cystathionine,NPU00000
NPU01023,Acetyl-L-cystine,NPU00000
NPU01024,Acetyl-L-lysine,NPU00000
NPU01034,Acetylcholinesterase,NPU00000
NPU01035,Acetylcholinesterase,NPU00000
NPU01036,Acetylcholine receptor antibody,NPU00000
NPU01064,Acid phosphatase,NPU00000
NPU01065,"Acid phosphatase, prostatic type",NPU00000
NPU01066,"Acid phosphatase, prostatic type",NPU00000
NPU01084,Adenosyl-L-homocysteine,NPU00000
NPU01085,Adenosyl-L-methionine,NPU00000
NPU01086,Adenosyl-L-methionine,NPU00000
NPU01104,Adipate,NPU00000
NPU01105,Adrenalinium+noradrenalinium,NPU00000
NPU01106,Adrenocortex antibody,NPU00000
NPU01116,Alanine,NPU00000
NPU01117,Alanine,NPU00000
NPU01118,Alanine,NPU00000
NPU01119,Alanine,NPU00000
NPU01120,Alanine,NPU00000
NPU01121,Alanine transaminase,NPU00000
NPU01130,Albumin,NPU00000
NPU01131,Albumin,NPU00000
NPU01132,Albumin,NPU00000
NPU01135,Aldosterone,NPU00000
NPU01136,Aldosterone,NPU00000
NPU01137,Aldosterone receptor,NPU00000
NPU01138,Aliphatic carboxylate(C<sub>14</sub>-C<sub>26</sub>) absorption,NPU00000
NPU01139,Aliphatic carboxylate(C<sub>10</sub>-C<sub>26</sub>),NPU00000
NPU01140,Aliphatic carboxylate(C<sub>14</sub>-C<sub>26</sub>)+esters,NPU00000
NPU01141,Aliphatic carboxylate(C<sub>24:0</sub>)/Aliphatic carboxylate(C<sub>22:0</sub>),NPU00000
NPU01142,Aliphatic carboxylate(C<sub>22:0</sub>)/Aliphatic carboxylate(C<sub>26:0</sub>),NPU00000
NPU01143,Alkaline phosphatase,NPU00000
NPU01144,Alkaline phosphatase,NPU00000
NPU01145,"Alkaline phosphatase, bone type",NPU00000
NPU01146,Creatine kinase BB,NPU00000
NPU01155,Aluminium,NPU00000
NPU01156,Aluminium,NPU00000
NPU01157,Aluminium,NPU00000
NPU01158,Aluminium,NPU00000
NPU01173,Amino-2-piperidone,NPU00000
NPU01184,Amino-n-butyrate,NPU00000
NPU01185,Amino-n-butyrate,NPU00000
NPU01186,Amino-n-butyrate,NPU00000
NPU01203,Aminoadipate,NPU00000
NPU01204,Aminoadipate,NPU00000
NPU01205,Aminobutyrate,NPU00000
NPU01206,Aminobutyrate,NPU00000
NPU01207,Aminoisobutyrate,NPU00000
NPU01208,Aminoisobutyrate,NPU00000
NPU01209,Aminolevulinate,NPU00000
NPU01210,Aminolevulinate,NPU00000
NPU01225,Ammonium,NPU00000
NPU01226,Ammonium,NPU00000
NPU01227,Ammonium,NPU00000
NPU01238,Amylase,NPU00000
NPU01239,Amylase,NPU00000
NPU01240,Amylase,NPU00000
NPU01241,Amylase production,NPU00000
NPU01242,Amylase type,NPU00000
NPU01251,Androstandione,NPU00000
NPU01252,Androstanolone,NPU00000
NPU01253,Androstenedione,NPU00000
NPU01255,Androsterone,NPU00000
NPU01258,Angiotensinogen,NPU00000
NPU01266,Anserine,NPU00000
NPU01267,Anserine,NPU00000
NPU01268,Anserine,NPU00000
NPU01270,Antichymotrypsin,NPU00000
NPU01271,Antimony,NPU00000
NPU01272,Antimony,NPU00000
NPU01273,Antimony,NPU00000
NPU01274,Antimony,NPU00000
NPU01297,Arginine,NPU00000
NPU01298,Arginine,NPU00000
NPU01299,Arginine,NPU00000
NPU01300,Argininosuccinate,NPU00000
NPU01301,Argininosuccinate,NPU00000
NPU01306,Arsenic,NPU00000
NPU01307,Arsenic,NPU00000
NPU01308,Arsenic,NPU00000
NPU01317,Ascorbate,NPU00000
NPU01318,Asparagine,NPU00000
NPU01319,Asparagine,NPU00000
NPU01320,Asparagine,NPU00000
NPU01321,Aspartate,NPU00000
NPU01322,Aspartate,NPU00000
NPU01323,Aspartate,NPU00000
NPU01324,Aspartate transaminase,NPU00000
NPU01325,Acetyl-beta-D-glucosamine,NPU00000
NPU01337,Atrial natriuretic peptide,NPU00000
NPU01338,Atrial natriuretic peptide,NPU00000
NPU01346,Barium,NPU00000
NPU01347,Barium,NPU00000
NPU01349,Basophilocytes,NPU00000
NPU01351,Bence Jones' protein,NPU00000
NPU01364,Beryllium,NPU00000
NPU01365,Beryllium,NPU00000
NPU01366,Bilirubin,NPU00000
NPU01367,Bilirubin albumin,NPU00000
NPU01368,Bilirubin glucuronide,NPU00000
NPU01369,Bilirubins,NPU00000
NPU01370,Bilirubins,NPU00000
NPU01371,Bilirubins,NPU00000
NPU01372,Bilirubins,NPU00000
NPU01383,Bismuth,NPU00000
NPU01384,Bismuth,NPU00000
NPU01393,Haemoglobin,NPU00000
NPU01400,Boron,NPU00000
NPU01403,Bromide,NPU00000
NPU01406,Bufotenine,NPU00000
NPU01422,C-reactive protein,NPU00000
NPU01423,C-reactive protein,NPU00000
NPU01424,Cadmium,NPU00000
NPU01425,Cadmium,NPU00000
NPU01426,Cadmium,NPU00000
NPU01427,Caesium,NPU00000
NPU01428,Caesium,NPU00000
NPU01429,Caesium,NPU00000
NPU01430,Caesium,NPU00000
NPU01431,Caesium,NPU00000
NPU01435,Calcifediol,NPU00000
NPU01436,Vitamin D-binding protein,NPU00000
NPU01437,Calciol,NPU00000
NPU01438,Calcitonin,NPU00000
NPU01439,Calcitonin,NPU00000
NPU01440,Calcitriol,NPU00000
NPU01441,Calcium,NPU00000
NPU01442,Calcium,NPU00000
NPU01443,Calcium,NPU00000
NPU01445,Calcium carbonate,NPU00000
NPU01446,Calcium ion,NPU00000
NPU01447,Calcium oxalate,NPU00000
NPU01448,Cancer antigen 125,NPU00000
NPU01449,Cancer antigen 15-3,NPU00000
NPU01450,Cancer antigen 19-9,NPU00000
NPU01451,Cancer antigen 50,NPU00000
NPU01458,Carbamide,NPU00000
NPU01459,Carbamide,NPU00000
NPU01470,Carbon dioxide,NPU00000
NPU01471,Carbon dioxide,NPU00000
NPU01472,Carbon dioxide,NPU00000
NPU01473,Carbon monoxide haemoglobin,NPU00000
NPU01474,Carbonate dehydratase,NPU00000
NPU01475,Carbonate dehydratase,NPU00000
NPU01476,Carboxyglutamate,NPU00000
NPU01477,Carboxymethyl lysine,NPU00000
NPU01478,Carcinoembryonic antigen,NPU00000
NPU01482,Carnitine,NPU00000
NPU01483,"Alkaline phosphatase, placental type",NPU00000
NPU01485,Carnitine,NPU00000
NPU01502,Carnitine/Creatine,NPU00000
NPU01503,Carnosine,NPU00000
NPU01504,Carnosine,NPU00000
NPU01505,Carotene,NPU00000
NPU01523,Glucose,NPU00000
NPU01530,"Alkaline phosphatase, intestinal type",NPU00000
NPU01535,Chloride,NPU00000
NPU01536,Chloride,NPU00000
NPU01537,Chloride,NPU00000
NPU01549,Cholesterol,NPU00000
NPU01566,Cholesterol+ester,NPU00000
NPU01567,"Cholesterol+ester, in HDL",NPU00000
NPU01568,"Cholesterol+ester, in LDL",NPU00000
NPU01569,"Cholesterol+ester, in VLDL",NPU00000
NPU01570,Cholinesterase,NPU00000
NPU01571,Chondroitin sulfate,NPU00000
NPU01572,Chorionic Gonadotropin,NPU00000
NPU01573,Chorionic Gonadotropin,NPU00000
NPU01576,Chorionic Gonadotropin,NPU00000
NPU01577,Chorionic Gonadotropin,NPU00000
NPU01578,Choriogonadotropin alpha-chain,NPU00000
NPU01579,Choriogonadotropin alpha-chain,NPU00000
NPU01580,Choriogonadotropin beta-chain,NPU00000
NPU01581,Choriogonadotropin beta-chain,NPU00000
NPU01582,Choriogonadotropin+beta-chain,NPU00000
NPU01583,Choriogonadotropin+beta-chain,NPU00000
NPU01584,Choriomammotropin,NPU00000
NPU01585,Choriomammotropin,NPU00000
NPU01586,Chromium,NPU00000
NPU01588,Chromium,NPU00000
NPU01589,Chromium,NPU00000
NPU01590,Chromium,NPU00000
NPU01591,Chromium,NPU00000
NPU01594,Citrate,NPU00000
NPU01611,Citrulline,NPU00000
NPU01612,Citrulline,NPU00000
NPU01695,Cobalamin,NPU00000
NPU01696,Cobalamin,NPU00000
NPU01698,Cobalamin,NPU00000
NPU01699,Cobalamin,NPU00000
NPU01700,Cobalamin,NPU00000
NPU01701,Cobalamin type,NPU00000
NPU01702,Cobalt,NPU00000
NPU01703,Cobalt,NPU00000
NPU01704,Cobalt,NPU00000
NPU01705,Cobalt,NPU00000
NPU01772,Copper,NPU00000
NPU01773,Copper,NPU00000
NPU01774,Copper,NPU00000
NPU01784,Corticotropin,NPU00000
NPU01785,Corticotropin,NPU00000
NPU01786,Cortisol,NPU00000
NPU01787,Cortisol,NPU00000
NPU01788,Cortisol,NPU00000
NPU01789,Cortisol secretion,NPU00000
NPU01790,Cortisol secretion,NPU00000
NPU01791,Cortisol secretion,NPU00000
NPU01792,Cortisol secretion,NPU00000
NPU01795,Creatine,NPU00000
NPU01796,Creatine kinase,NPU00000
NPU01798,Creatine kinase MB+BB,NPU00000
NPU01799,Creatine kinase BB,NPU00000
NPU01801,Creatine kinase MB,NPU00000
NPU01803,Creatine kinase MM,NPU00000
NPU01805,Creatine kinase type,NPU00000
NPU01806,Creatininium,NPU00000
NPU01807,Creatininium,NPU00000
NPU01808,Creatininium,NPU00000
NPU01809,Creatininium clearance,NPU00000
NPU01816,Cryoglobulins,NPU00000
NPU01817,"Cylinder, erythrocyte type",NPU00000
NPU01818,"Cylinder, granular type",NPU00000
NPU01819,"Cylinder, hyaline type",NPU00000
NPU01820,Cystathionine,NPU00000
NPU01821,Cystathionine,NPU00000
NPU01823,Cysteine-L-homocysteine disulfide,NPU00000
NPU01824,Cysteine-L-homocysteine disulfide,NPU00000
NPU01825,Cystine,NPU00000
NPU01826,Cystine,NPU00000
NPU01827,Cystine,NPU00000
NPU01828,Cystine,NPU00000
NPU01847,Cytosol aminopeptidase,NPU00000
NPU01851,Dehydrochloromethyl testosterone,NPU00000
NPU01852,Prasterone,NPU00000
NPU01855,Prasterone,NPU00000
NPU01856,Cortodoxone,NPU00000
NPU01857,Dermatan sulfate,NPU00000
NPU01881,Dicarboxylic acid C<sub>6</sub>C<sub>8</sub>C<sub>10</sub>,NPU00000
NPU01882,Dicarboxylic acid C<sub>6</sub>C<sub>8</sub>C<sub>10</sub>,NPU00000
NPU01905,Peptidyl dipeptidase A,NPU00000
NPU01907,Diphosphoglycerate,NPU00000
NPU01913,DNA(double stranded) antibody,NPU00000
NPU01914,DNP antibody,NPU00000
NPU01933,Eosinophilocytes,NPU00000
NPU01934,Eosinophilocytes,NPU00000
NPU01935,Eosinophilocytes,NPU00000
NPU01941,Epitestosterone,NPU00000
NPU01943,Erythroblasts,NPU00000
NPU01944,Erythrocytes,NPU00000
NPU01960,Erythrocytes,NPU00000
NPU01961,Erythrocytes,NPU00000
NPU01962,Erythrocytes,NPU00000
NPU01963,"Erythrocytes, haemoglobin F containing",NPU00000
NPU01964,"Erythrocytes, haemoglobin F containing",NPU00000
NPU01965,"Erythrocytes, haemoglobin F containing",NPU00000
NPU01966,"Erythrolysine, biphasical",NPU00000
NPU01967,"Erythrolysine, cold",NPU00000
NPU01968,"Erythrolysine, heat",NPU00000
NPU01969,Erythropoietin,NPU00000
NPU01972,Estradiol,NPU00000
NPU01973,Estradiol,NPU00000
NPU01974,Estradiol,NPU00000
NPU01975,Estradiol-receptor,NPU00000
NPU01976,Estradiol-receptor,NPU00000
NPU01977,Creatine kinase MM,NPU00000
NPU01978,Creatine kinase type,NPU00000
NPU01979,Estriol,NPU00000
NPU01980,Estriol,NPU00000
NPU01981,Estriol,NPU00000
NPU01982,Estrone,NPU00000
NPU02013,Etiocholanolone,NPU00000
NPU02041,Ferroxidase,NPU00000
NPU02042,Fetoprotein,NPU00000
NPU02043,Fetoprotein,NPU00000
NPU02063,Fluoride,NPU00000
NPU02070,Folate,NPU00000
NPU02071,Folates,NPU00000
NPU02072,Follitropin,NPU00000
NPU02073,Follitropin,NPU00000
NPU02074,Follitropin alpha-chain,NPU00000
NPU02075,Follitropin beta-chain,NPU00000
NPU02086,Formiminoglutamate,NPU00000
NPU02096,Fructosamine,NPU00000
NPU02099,Fructose+glucose tolerance,NPU00000
NPU02116,Aldolase,NPU00000
NPU02150,Galactose,NPU00000
NPU02151,Galactose,NPU00000
NPU02152,Galactose,NPU00000
NPU02153,Galactose-1-phosphate,NPU00000
NPU02159,Gallium,NPU00000
NPU02161,Gastrin,NPU00000
NPU02162,Bombesin,NPU00000
NPU02163,Bombesin,NPU00000
NPU02165,Germanium,NPU00000
NPU02167,Glomerulus basement membrane antibody,NPU00000
NPU02168,Glucagon,NPU00000
NPU02169,Glucagon,NPU00000
NPU02170,Glucagon+proglucagon(1-61),NPU00000
NPU02187,Glucose,NPU00000
NPU02188,Glucose,NPU00000
NPU02189,Glucose,NPU00000
NPU02190,Glucose,NPU00000
NPU02191,Glucose,NPU00000
NPU02192,Glucose,NPU00000
NPU02193,Glucose,NPU00000
NPU02195,Glucose,NPU00000
NPU02196,Glucose tolerance,NPU00000
NPU02228,Glutamate,NPU00000
NPU02229,Glutamate,NPU00000
NPU02230,Glutamate,NPU00000
NPU02247,Glutamate dehydrogenase(NAD(P)<sup>+</sup>),NPU00000
NPU02249,Glutamine,NPU00000
NPU02250,Glutamine,NPU00000
NPU02251,Glutamyltransferase,NPU00000
NPU02252,Glutarate,NPU00000
NPU02288,Glycine,NPU00000
NPU02289,Glycine,NPU00000
NPU02290,Glycine,NPU00000
NPU02307,Glycohaemoglobin,NPU00000
NPU02310,Gold,NPU00000
NPU02311,Gold,NPU00000
NPU02312,Gold,NPU00000
NPU02313,Gold,NPU00000
NPU02317,Haptocorrin,NPU00000
NPU02318,Haptoglobin,NPU00000
NPU02319,Haemoglobin,NPU00000
NPU02320,Haemoglobin,NPU00000
NPU02321,Haemoglobin,NPU00000
NPU02322,Haemoglobin,NPU00000
NPU02325,Haemoglobin F,NPU00000
NPU02326,Haemoglobin type,NPU00000
NPU02327,"Haemoglobin, heat unstable",NPU00000
NPU02328,Haemopexin,NPU00000
NPU02371,Hippurate,NPU00000
NPU02373,Histidine,NPU00000
NPU02374,Histidine,NPU00000
NPU02385,Histone antibody,NPU00000
